+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                  ;
+------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                              ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
+------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; FFT_CT_inst|FFT_C|fft_ii_0|asj_fft_si_se_so_b_inst                     ; 30    ; 1              ; 0            ; 1              ; 32     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; FFT_CT_inst|FFT_C|fft_ii_0                                             ; 29    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; FFT_CT_inst|FFT_C                                                      ; 29    ; 13             ; 0            ; 13             ; 32     ; 13              ; 13            ; 13              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; FFT_CT_inst|image_FFT|altsyncram_component|auto_generated              ; 40    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; FFT_CT_inst|image_FFT                                                  ; 40    ; 12             ; 0            ; 12             ; 16     ; 12              ; 12            ; 12              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; FFT_CT_inst|real_FFT|altsyncram_component|auto_generated               ; 40    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; FFT_CT_inst|real_FFT                                                   ; 40    ; 12             ; 0            ; 12             ; 16     ; 12              ; 12            ; 12              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; FFT_CT_inst|cordicB_inst|cordic_0|redist9_signY_uid8_atan2Test_b_1     ; 4     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; FFT_CT_inst|cordicB_inst|cordic_0|redist10_signX_uid7_atan2Test_b_1    ; 4     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; FFT_CT_inst|cordicB_inst|cordic_0|yNotZero_uid15_atan2Test_delay       ; 4     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; FFT_CT_inst|cordicB_inst|cordic_0|xNotZero_uid17_atan2Test_delay       ; 4     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; FFT_CT_inst|cordicB_inst|cordic_0|redist1_xip1_8_uid160_atan2Test_b_1  ; 28    ; 0              ; 0            ; 0              ; 25     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; FFT_CT_inst|cordicB_inst|cordic_0|redist0_yip1_8_uid161_atan2Test_b_1  ; 22    ; 0              ; 0            ; 0              ; 19     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; FFT_CT_inst|cordicB_inst|cordic_0|redist2_xMSB_uid146_atan2Test_b_1    ; 4     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; FFT_CT_inst|cordicB_inst|cordic_0|redist3_xMSB_uid129_atan2Test_b_1    ; 4     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; FFT_CT_inst|cordicB_inst|cordic_0|redist4_xMSB_uid108_atan2Test_b_1    ; 4     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; FFT_CT_inst|cordicB_inst|cordic_0|redist5_xMSB_uid89_atan2Test_b_1     ; 4     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; FFT_CT_inst|cordicB_inst|cordic_0|redist6_xMSB_uid70_atan2Test_b_1     ; 4     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; FFT_CT_inst|cordicB_inst|cordic_0|redist7_xMSB_uid51_atan2Test_b_1     ; 4     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; FFT_CT_inst|cordicB_inst|cordic_0|redist8_xMSB_uid32_atan2Test_b_1     ; 4     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; FFT_CT_inst|cordicB_inst|cordic_0                                      ; 23    ; 0              ; 0            ; 0              ; 13     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; FFT_CT_inst|cordicB_inst                                               ; 23    ; 1              ; 0            ; 1              ; 13     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; FFT_CT_inst|cordicA_inst|cordic_0|redist9_signY_uid8_atan2Test_b_1     ; 4     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; FFT_CT_inst|cordicA_inst|cordic_0|redist10_signX_uid7_atan2Test_b_1    ; 4     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; FFT_CT_inst|cordicA_inst|cordic_0|yNotZero_uid15_atan2Test_delay       ; 4     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; FFT_CT_inst|cordicA_inst|cordic_0|xNotZero_uid17_atan2Test_delay       ; 4     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; FFT_CT_inst|cordicA_inst|cordic_0|redist1_xip1_8_uid160_atan2Test_b_1  ; 28    ; 0              ; 0            ; 0              ; 25     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; FFT_CT_inst|cordicA_inst|cordic_0|redist0_yip1_8_uid161_atan2Test_b_1  ; 22    ; 0              ; 0            ; 0              ; 19     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; FFT_CT_inst|cordicA_inst|cordic_0|redist2_xMSB_uid146_atan2Test_b_1    ; 4     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; FFT_CT_inst|cordicA_inst|cordic_0|redist3_xMSB_uid129_atan2Test_b_1    ; 4     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; FFT_CT_inst|cordicA_inst|cordic_0|redist4_xMSB_uid108_atan2Test_b_1    ; 4     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; FFT_CT_inst|cordicA_inst|cordic_0|redist5_xMSB_uid89_atan2Test_b_1     ; 4     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; FFT_CT_inst|cordicA_inst|cordic_0|redist6_xMSB_uid70_atan2Test_b_1     ; 4     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; FFT_CT_inst|cordicA_inst|cordic_0|redist7_xMSB_uid51_atan2Test_b_1     ; 4     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; FFT_CT_inst|cordicA_inst|cordic_0|redist8_xMSB_uid32_atan2Test_b_1     ; 4     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; FFT_CT_inst|cordicA_inst|cordic_0                                      ; 23    ; 0              ; 0            ; 0              ; 13     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
